query_id,scene_id,object_a,object_b,available_points_a,available_points_b,n_points_requested,seed,sampled_distance_m,full_point_distance_m,stored_gt_distance_m,abs_error_vs_full_m,abs_error_full_vs_stored_gt_m
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,10000,3,0.5970470484350482,0.5864425716931904,0.5864425897598267,0.010604476741857827,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,10000,4,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,20000,0,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,20000,1,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,20000,2,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,20000,3,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0002,scene0012_01,scene0012_01__door_032,scene0012_01__table_008,2918,2131,20000,4,0.5864425716931904,0.5864425716931904,0.5864425897598267,0.0,1.8066636298108563e-08
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,512,0,0.20449708339870476,0.1923689553116965,0.1923689544200897,0.01212812808700825,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,512,1,0.19292964903760665,0.1923689553116965,0.1923689544200897,0.0005606937259101386,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,512,2,0.20358959447854855,0.1923689553116965,0.1923689544200897,0.011220639166852037,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,512,3,0.2178911776464689,0.1923689553116965,0.1923689544200897,0.025522222334772388,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,512,4,0.20276440157045952,0.1923689553116965,0.1923689544200897,0.010395446258763014,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,1000,0,0.2004488689893378,0.1923689553116965,0.1923689544200897,0.008079913677641298,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,1000,1,0.19874757871528193,0.1923689553116965,0.1923689544200897,0.006378623403585415,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,1000,2,0.1970331225294448,0.1923689553116965,0.1923689544200897,0.0046641672177482885,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,1000,3,0.19454429899641543,0.1923689553116965,0.1923689544200897,0.0021753436847189167,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,1000,4,0.19292964903760665,0.1923689553116965,0.1923689544200897,0.0005606937259101386,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,2000,0,0.1994096492863843,0.1923689553116965,0.1923689544200897,0.0070406939746877895,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,2000,1,0.1923689553116965,0.1923689553116965,0.1923689544200897,0.0,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,2000,2,0.1942693653125873,0.1923689553116965,0.1923689544200897,0.0019004100008907787,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,2000,3,0.19394715566157456,0.1923689553116965,0.1923689544200897,0.001578200349878045,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,2000,4,0.19391198937645235,0.1923689553116965,0.1923689544200897,0.0015430340647558383,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,5000,0,0.1942693653125873,0.1923689553116965,0.1923689544200897,0.0019004100008907787,8.916068161557433e-10
test_stage1_dn_0003,scene0050_02,scene0050_02__chair_000,scene0050_02__desk_003,7443,4343,5000,1,0.19391198937645235,0.1923689553116965,0.1923689544200897,0.0015430340647558383,8.916068161557433e-10
